相对强度 运行#3	位置 (米 m) 运行#3
0.030914	1.9725E-5
0.034485	1.9725E-5
0.031326	1.9725E-5
0.034271	1.9725E-5
0.033356	1.9725E-5
0.032654	1.9725E-5
0.032043	1.9725E-5
0.030411	1.9725E-5
0.032349	1.9725E-5
0.033264	1.9725E-5
0.033264	1.9725E-5
0.032242	1.9725E-5
0.033966	1.9725E-5
0.032745	1.9725E-5
0.033463	1.9725E-5
0.032745	1.9725E-5
0.033768	1.9725E-5
0.032547	1.9725E-5
0.032852	1.9725E-5
0.032547	1.9725E-5
0.032852	1.9725E-5
0.034271	1.9725E-5
0.030914	1.9725E-5
0.033569	1.9725E-5
0.033768	1.9725E-5
0.033157	1.9725E-5
0.031631	1.9725E-5
0.032745	1.9725E-5
0.034790	1.9725E-5
0.032959	1.9725E-5
0.031830	1.9725E-5
0.031219	1.9725E-5
0.033966	1.9725E-5
0.032547	1.9725E-5
0.033875	1.9725E-5
0.034271	1.9725E-5
0.030823	1.9725E-5
0.033463	1.9725E-5
0.033661	1.9725E-5
0.032547	1.9725E-5
0.033966	1.9725E-5
0.032043	1.9725E-5
0.033768	1.9725E-5
0.033661	1.9725E-5
0.030914	1.9725E-5
0.034271	1.9725E-5
0.031830	1.9725E-5
0.032135	1.9725E-5
0.034378	1.9725E-5
0.032654	1.9725E-5
0.033463	1.9725E-5
0.033875	1.9725E-5
0.032043	1.9725E-5
0.033768	1.9725E-5
0.032440	1.9725E-5
0.032654	1.9725E-5
0.031738	1.9725E-5
0.033768	1.9725E-5
0.030914	1.9725E-5
0.033768	1.9725E-5
0.033768	1.9725E-5
0.033051	1.9725E-5
0.032440	1.9725E-5
0.033157	1.9725E-5
0.033051	1.9725E-5
0.032547	1.9725E-5
0.033768	1.9725E-5
0.031631	1.9725E-5
0.033264	1.9725E-5
0.033966	3.9450E-5
0.031631	1.1835E-4
0.033356	2.3670E-4
0.034378	3.1560E-4
0.032654	3.7477E-4
0.032242	4.3395E-4
0.033356	4.5367E-4
0.032349	4.5367E-4
0.034271	4.5367E-4
0.033157	4.5367E-4
0.033966	4.5367E-4
0.032440	4.5367E-4
0.033569	4.5367E-4
0.033356	4.5367E-4
0.033966	4.5367E-4
0.032242	4.5367E-4
0.034271	4.5367E-4
0.033264	4.5367E-4
0.031830	4.5367E-4
0.033264	4.5367E-4
0.033569	4.5367E-4
0.033356	4.5367E-4
0.034073	4.5367E-4
0.034271	4.5367E-4
0.032654	4.5367E-4
0.032852	4.5367E-4
0.033463	4.5367E-4
0.031830	4.5367E-4
0.033157	4.5367E-4
0.031830	4.5367E-4
0.033356	4.5367E-4
0.033966	4.5367E-4
0.032043	4.5367E-4
0.031219	4.5367E-4
0.032242	4.5367E-4
0.033768	4.5367E-4
0.035294	4.5367E-4
0.033463	4.5367E-4
0.031830	4.5367E-4
0.032547	4.5367E-4
0.033661	4.5367E-4
0.030914	4.5367E-4
0.033875	4.5367E-4
0.031326	5.3258E-4
0.035187	5.7202E-4
0.030304	5.7202E-4
0.034180	5.9175E-4
0.032852	5.9175E-4
0.031525	5.9175E-4
0.033157	5.9175E-4
0.033661	5.9175E-4
0.031937	5.9175E-4
0.033768	5.9175E-4
0.032547	5.9175E-4
0.033264	5.9175E-4
